index,Name,Provider,Image_url,RTP,Pay_lines,Free_spins,Bonus_game
0,Starburst,NetEnt,starburst-slot-netent-2.jpg,96.1%,10,No,Yes
1,Dead or Alive,NetEnt,dead-or-alive-slot-netent-2.jpg,96.82%,9,Yes,No
2,Gonzo's Quest,NetEnt,gonzos-quest-slot-netent.jpg,96%,20,Yes,No
3,Immortal Romance,Microgaming,immortal-romance-slot-microgaming.jpg,96.86%,243,Yes,Yes
4,Twin Spin,NetEnt,twin-spin-slot-netent.jpg, 96.6%,243,No,No
5,Thunderstruck 2,Microgaming,thunderstruck-2-slot-microgaming.jpg,96.65%, 243,Yes,Yes
6,Secret of the Stones,NetEnt,secret-of-the-stones-slot-netent.jpg,96.7%,25,Yes,No
7,Jack Hammer 2,NetEnt,jack-hammer-2-slot-netent-2.jpg,97.1%,50,Yes,Yes
8,Jack and the Beanstalk,NetEnt,jack-and-the-beanstalk-slot-netent.jpg,96.3%,20,Yes,Yes
9,Blood Suckers,NetEnt,blood-suckers-slot-netent-3.jpg,98%,25,Yes,Yes
10,Game Of Thrones 243 Ways,Microgaming,game-of-thrones-slot-microgaming.jpg,Unknown,243,Yes,Yes
11,South Park,NetEnt,south-park-slot-netent.jpg,96.7%,25,Yes,Yes
12,Avalon II,Microgaming,avalon-ii-slot-microgaming.jpg,97%,243,Yes,Yes
13,Lost Island,NetEnt,lost-island-slot-netent.jpg,96.5%,20,Yes,No
14,Book of Dead,Play'n Go,book-of-dead-slot-playn-go.jpg,Unknown,10,Yes,No
15,Gold Factory,Microgaming,gold-factory-slot-microgaming.jpg,96.54%,50,Yes,Yes
16,Creature From the Black Lagoon,NetEnt,creature-from-the-black-lagoon-slot-netent.jpg,96.5%,20,Yes,Yes
17,Jack Hammer,NetEnt,jack-hammer-slot-netent.jpg,97%,25,Yes,No
18,Fruit Shop,NetEnt,fruit-shop-slot-netent.jpg,96.7%,15,Yes,No
19,Jurassic Park,Microgaming,jurassic-park-slot-microgaming.jpg,Unknown,243,Yes,No
20,Hitman,Microgaming,hitman-slot-microgaming.jpg,95.81%,15,Yes,Yes
21,Victorious,NetEnt,victorious-slot-netent.jpg,96.9%,243,Yes,No
22,Zombies,NetEnt,zombies-slot-netent.jpg,97.2%,20,Yes,Yes
23,The Dark Knight Rises,Microgaming,the-dark-knight-rises-slot-microgaming.jpg,96.41%,243,Yes,Yes
24,Wonky Wabbits,NetEnt,wonky-wabbits-slot-netent.jpg,96.5%,15,No,No
25,Lights,NetEnt,lights-slot-netent.jpg,96.1%,9,Yes,No
